DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
seq3301,-266.17308471298446,0,-307.8169984846077,0,0,0,-271.3201019564172,-292.78104722160344,-272.25924728955323,-280.2800244179664,-272.204427513376,-288.2921102620425,-273.58295550009876,-287.33998862395777,-290.6820750778186,-303.2370997999625,-289.475549361924,0,-271.3293843919015,-270.040797030608,0,0,-286.540160432849,-295.24078686370507,0,0,0,0,0,0,0,0,0
seq3302,-265.26233377916355,0,-283.66956206065225,0,0,0,-267.2689377282561,-269.5313339614346,-260.2043427395172,-241.35749281000986,-262.76108149419963,-270.0961403346497,-265.3551319682121,-251.2332221030957,-275.5059537283505,-279.4574432453694,-271.933237108419,0,-251.4235982623685,-261.3360004181448,0,0,-262.6543289152361,-268.20306055514806,0,0,0,0,0,0,0,0,0
seq3303,-259.0602008629511,0,-275.8652072235477,0,0,0,-273.8078058409124,-264.02836551357905,-261.60112788745954,-275.5940448290632,-253.73112088534327,-285.53308355975287,-257.20530220787555,-290.73966588227063,-272.4113136433208,-311.07898937738406,-284.52510577638617,0,-272.2290310676865,-245.56099421210416,0,0,-279.49822977070585,-257.60033425950076,0,0,0,0,0,0,0,0,0
seq3304,-243.18650195037787,0,-275.4655954623968,0,0,0,-239.35085015390453,-241.20285129622158,-246.1609482808005,-257.84346360626245,-240.47280780557637,-246.5601579833122,-243.5528948238424,-259.1003974294884,-263.95656199421927,-277.7273253894695,-261.42977230532176,0,-247.38486338862018,-232.4583090673564,0,0,-245.96215606231155,-243.3977559621358,0,0,0,0,0,0,0,0,0
seq3305,-239.77363326771797,0,-266.9826665218697,0,0,0,-247.93042860505778,-245.85495372955396,-231.36648468892156,-235.01979364911713,-236.89293111065962,-257.08931298698496,-242.71418907801424,-254.80720154244736,-262.0209390115882,-272.0892712575854,-254.42437423988747,0,-231.7372036648205,-235.94199335274422,0,0,-174.29278073314455,-255.30079543273587,0,0,0,0,0,0,0,0,0
seq3306,-245.6624155138447,0,-280.8384177548875,0,0,0,-262.55794644987805,-276.1313332543401,-259.3073991966411,-296.15577556014733,-270.12786043333796,-284.9059382508049,-244.13455204955758,-308.44428108818107,-276.02454525819644,-321.33052593258503,-273.5073316682969,0,-294.0877184227291,-245.0317617321301,0,0,-311.92469470143016,-292.35291631726625,0,0,0,0,0,0,0,0,0
seq3307,-241.44886206374318,0,-278.83272477877244,0,0,0,-249.7934453136822,-268.53725660834317,-233.94482275548597,-262.97473184314657,-263.81724368289224,-259.04409090527923,-245.24415462186903,-268.6895202693714,-289.11092434413683,-289.94995529413274,-261.51556663024735,0,-251.7070259463758,-245.2440867683365,0,0,-276.3448025043867,-274.1564232057469,0,0,0,0,0,0,0,0,0
seq3308,-269.79951445886223,0,-287.9327561163248,0,0,0,-286.50314252407776,-287.6934339813741,-282.45991755640125,-296.13694372853354,-274.9675442825192,-299.469083329229,-277.9683633930741,-303.792938181795,-279.12602651479233,-331.5956632569783,-295.8871933870296,0,-288.1405238563762,-264.44350822286987,0,0,-309.06696935610546,-288.78487879627124,0,0,0,0,0,0,0,0,0
seq3309,-262.89785876668765,0,-291.6072635923907,0,0,0,-256.008118990942,-251.93962181359854,-268.03577992927507,-239.45319167076525,-261.6325351778544,-273.39952867100175,-268.2283000006135,-250.8921783427943,-280.82542717273964,-249.90649355795327,-250.39576435506646,0,-234.66494771529537,-265.9664569747006,0,0,-271.7530659783036,-269.71274954033424,0,0,0,0,0,0,0,0,0
seq3310,-247.45992972784302,0,-267.5009530532735,0,0,0,-264.36006084084204,-263.0503905539435,-252.12771399811197,-269.88156862686594,-257.2795471146425,-277.00212312529743,-249.42237579226344,-283.53942882375685,-277.6727969857588,-298.1597445107347,-282.39959359555513,0,-258.12735175347893,-237.6147073623921,0,0,-282.68293139733174,-250.0945248405438,0,0,0,0,0,0,0,0,0
