DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
seq24601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-195.57785118602595,-204.52218881526613,-248.48332766532582,-232.52981537894286,-218.5886179485243,-211.50854756168536,-228.02671743921653,-212.5355324210464,0
seq24602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-211.0258045657834,-200.99627331682376,-246.64871322102124,-232.27385207674848,-219.03785930280887,-201.1061034066458,-227.4560863685099,-196.47245695922814,0
seq24603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-279.06252383981973,-270.3567824466978,-287.88020275938794,-274.1717864725868,-265.23796318283627,-265.6177454342664,-265.78066125985384,-278.11563675885753,0
seq24604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-241.33905356469154,-227.46053280772296,-260.51208697305543,-213.80088081168492,-223.93423883782165,-232.5872590460601,-210.55389728200623,-245.13642077494174,0
seq24605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-277.6371645927572,-271.29240167392294,-286.2951330782619,-277.17842735324524,-266.5659493503745,-266.71961640046544,-273.446600902406,-277.1794334010859,0
seq24606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-263.63307879815403,-258.7620744383765,-277.8237450055711,-258.88535700188686,-254.4419291419812,-249.7553296186141,-244.81071568556655,-265.11929716335175,0
seq24607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-287.13544019196877,-279.798956549965,-292.29741680219865,-287.27076468431017,-274.8696859764632,-279.7824382054601,-274.09409921916995,-288.1484984685688,0
seq24608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-217.99793979676951,-216.37349085833156,-248.27848295325398,-250.9555182574361,-233.12403976878954,-205.42850338430853,-247.80133267519483,-202.67210488091544,0
seq24609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-212.29221792467007,-216.54032720919548,-255.01080555070874,-242.29707880996148,-231.52879234016697,-227.394991273595,-239.23642339759968,-230.86210940951543,0
seq24610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-270.27387897928855,-268.48294077399356,-276.7270757875168,-281.6375855833465,-269.5838115832263,-266.3863358850172,-271.24207610227774,-273.7135668493475,0
