DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
seq901,-222.89298285082552,-225.90676707842425,-228.86759639023018,-229.71402013959204,-216.33090486257532,-232.51841868317004,-227.18680731982653,-217.38145052310946,-221.14655651326868,-235.98630862474948,-231.0876750392653,-201.7865635486464,-228.16693745447026,-232.75320953593192,-231.3812018333179,-212.89332281160648,0,-234.94074807135235,-240.67245287523795,-212.36589906700735,-220.8145275936166,-200.35948884377902,-222.12959046054954,-224.23678302446325,0,-274.102473204678,0,0,0,-263.86367353648785,0,0,-225.84969422921188
seq902,-246.4664906406053,-276.31343458244555,-248.06598705670962,-271.45302493750876,-262.3521188021467,-263.00612261276257,-260.3512852952624,-250.12479875833313,-278.721059019602,-279.1279694078079,-295.72983192393133,-282.1900015885114,-300.0092448760045,-290.26373446509626,-245.37807754010805,-305.8360927946613,0,-311.7231189121414,-281.8823352799921,-258.7759766280583,-265.64684692323095,-283.19725095238465,-279.390465460721,-268.3799866199744,0,-328.1136579485674,0,0,0,-322.95786921906125,0,0,-276.13392933009584
seq903,-233.83767084450108,-220.34391878808574,-229.34318610389946,-220.2909710861558,-228.1731316618741,-250.5601274142115,-232.36766228944234,-230.137814951539,-232.91893710059176,-218.31758309624163,-240.9324025011938,-242.21259608203292,-217.07234880191243,-231.21838326792033,-234.74338635201295,-225.23710839733607,0,-201.84665539721576,-231.9523744237667,-226.27873444900965,-224.3164155426235,-210.11098016909128,-215.29547779020274,-220.16743945415178,0,-273.3910111743417,0,0,0,-237.77219089861038,0,0,-220.0553381011132
seq904,-254.34980682649416,-268.37518751002654,-255.712845354995,-274.51228860310204,-261.20625861929926,-253.3034111157047,-252.99760175229335,-248.5444510812361,-261.3027688827747,-284.4612443561657,-298.12788610478765,-272.71351483714864,-291.65415083183325,-285.0591654203267,-273.8815990762494,-306.52895331765376,0,-314.2712718869407,-276.7915141214518,-248.16946058236047,-265.8717718260819,-270.2048441913311,-277.93417587906475,-268.30746825304936,0,-331.0032776238091,0,0,0,-341.36874680998835,0,0,-275.6674806103105
seq905,-263.1201728675215,-266.055082121099,-260.42132745752997,-256.5893689684699,-256.8062077828059,-272.4971808461062,-258.10043346144164,-257.4414624750314,-279.9552929785307,-258.13486083152225,-271.2388513165202,-289.6745309269009,-311.4917673463906,-274.6806090290444,-262.87974306271894,-302.02786626949813,0,-268.5167223874428,-253.74663308934163,-253.24499599100994,-259.1465977693184,-275.5742777483747,-264.58301978940165,-250.53238006658253,0,-277.8162667006279,0,0,0,-299.4605121981775,0,0,-243.20010800822882
seq906,-231.92101101813108,-230.78804616429943,-233.6924065841863,-230.13140793447016,-227.47865882085514,-248.7800416682346,-229.58047968090614,-228.3137037796005,-249.36916247705452,-237.6634911680286,-248.54906266370628,-255.64818957117635,-277.54825483624904,-244.01842145674684,-240.8440379202697,-264.56775771145846,0,-272.9813580869978,-242.73630577047496,-222.91259162898936,-238.6985275103565,-230.2174198769729,-243.2460215094515,-226.21984406414947,0,-287.2541662867702,0,0,0,-295.0482626502472,0,0,-233.44779938524766
seq907,-255.8273116374858,-249.99716585693668,-258.80932347209404,-240.23484053766444,-256.9216688398154,-271.69152252437163,-248.5294861355458,-256.7085215751928,-255.46701019495356,-236.02937469810576,-262.54703846865687,-277.5545248979602,-281.03111820114185,-260.9554616425645,-262.7025649048611,-271.46418897681576,0,-243.96271014665484,-238.753366293492,-248.55738527073518,-245.35458494213654,-262.4242696447653,-250.1063462424182,-242.92982492326522,0,-197.46342234676496,0,0,0,-269.04199624533516,0,0,-233.00389901423756
seq908,-258.4352755651295,-255.28305268510795,-256.60353880486457,-230.5108825359067,-260.6010383729833,-263.0552071224669,-244.77210908487297,-257.34332912318797,-265.50484035323177,-247.9626337105821,-281.62489407743254,-281.5098957209017,-299.7367440147052,-237.7060484335214,-273.02954343429934,-294.90586672632924,0,-267.16122846762954,-235.36947804187346,-253.73638307422357,-250.6875066846601,-264.54074475590255,-256.3416528481503,-244.6926017890746,0,-280.35008548792763,0,0,0,-301.6996473039972,0,0,-239.16917108222427
seq909,-233.70539382415004,-249.1969180934509,-241.30370646553084,-246.74886998898342,-233.9983932045896,-245.0409155251565,-237.8889641829459,-232.91795146450815,-259.05754850145155,-253.33449618070554,-231.0478925289099,-251.59164995891203,-274.8951779994996,-258.06222100325436,-232.05591568719552,-284.14958150285395,0,-287.31635312450294,-256.19764073012584,-235.64198135802377,-241.8968079343051,-255.33655353617058,-248.6989634796633,-242.65325670740935,0,-295.07224406380885,0,0,0,-309.5015772862272,0,0,-249.75176795185126
seq910,-261.3368924178118,-287.3956694514607,-258.0503888663831,-278.89234150271915,-273.76197577720995,-286.48728360827715,-268.1605109101668,-264.44121600752715,-290.6816475576676,-295.9262198370224,-301.43138204376874,-294.666854129031,-317.053959820712,-300.64915921699594,-265.61858265331017,-330.872640860806,0,-323.77942342876133,-297.02036624785205,-268.47928915022766,-285.8064530308806,-290.7781786100201,-291.0897943932749,-281.8261387524817,0,-336.35317677488484,0,0,0,-356.4081330886443,0,0,-285.4045127556836
