DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
seq3301,-264.21024855040713,-249.17250799378238,-263.75874064975255,-257.69810178637294,-267.5564568868317,-274.2858253608269,-259.94934076007024,-264.20236264024373,-273.59702555386184,-269.81775678470166,-291.8176093372462,-284.98460880062464,-304.18448409719133,-258.4071725488774,-278.7930676357098,-297.7866367707786,0,-304.94752081726534,-268.87642716753794,-265.7447256513119,-260.9846353403188,-274.2282592391719,-267.02474841238177,-255.0071941787081,0,-308.69665504248314,0,0,0,-328.1619006007337,0,0,-267.741424232689
seq3302,-259.49540865076926,-252.73812146942797,-265.3273810461685,-251.93650012576038,-265.04343415726186,-269.1784961242577,-255.59510207622898,-260.13386307163876,-254.9992390405273,-242.31521592357436,-268.0776174388761,-275.8672696686069,-284.7359331000551,-251.62419484857452,-269.68500069725144,-271.2583716118925,0,-257.3022661779369,-249.7019750694356,-254.55797138106496,-249.65523612081032,-261.3629019716888,-251.02377921586975,-246.5564537761886,0,-244.3955166932771,0,0,0,-262.0206294971723,0,0,-246.34810627172556
seq3303,-254.50874642478917,-257.075738097833,-249.6461292548521,-250.76908617444633,-255.13636370612593,-261.5915911013634,-252.0596791227081,-245.1367462710304,-274.1484572293252,-270.2304916106264,-266.50306986020126,-279.13838893194395,-302.56235915209356,-269.145186838543,-258.4599036561657,-300.58875846199635,0,-296.8687117738738,-267.5456735200971,-243.1644363133647,-254.579454726739,-268.5087253813208,-253.48948268196241,-255.10319241423076,0,-320.7900432117749,0,0,0,-327.1458606980034,0,0,-250.4669463395325
seq3304,-239.02443158754147,-236.68056701748458,-240.48946936774095,-229.05817421299227,-231.74186563641186,-245.57673102600702,-231.95270872883722,-227.00441738172378,-258.1925857857122,-244.0310994838055,-247.41712334304106,-242.8221082431094,-281.4118377677068,-237.31059450811273,-249.35160206049656,-262.3652237326934,0,-268.03791467419455,-239.35917466989187,-234.22312001220254,-231.05075669675756,-234.47546149465578,-232.90627673312233,-226.14816094483882,0,-285.57980536364647,0,0,0,-298.3371313895453,0,0,-234.95647097298394
seq3305,-233.13091499378584,-226.80512668099368,-236.44392343342722,-226.95067063975435,-227.6863709096015,-241.21182791252974,-231.7320135329543,-230.20659947420074,-242.11075450905784,-225.89328787660818,-254.52411381785203,-254.76431802656035,-270.16395141415467,-219.88357383868782,-241.2260166024637,-253.82585271887334,0,-263.37563199918145,-232.72926015596119,-232.61521137337851,-224.89993206513793,-233.716291089465,-194.2812842043888,-221.7984479311017,0,-278.0286641126563,0,0,0,-289.1801296447637,0,0,-233.45378788941252
seq3306,-250.4229401326395,-276.2110249310006,-248.82626550850193,-274.7764040483234,-262.4779318022295,-250.40024717846111,-246.81419691372696,-245.72210476153558,-262.71321566846734,-288.8277006520309,-287.23816385674525,-271.7811145388353,-300.11420890761457,-299.2887819827265,-263.9434400115241,-313.6749130557022,0,-312.8337888775006,-280.45107363659923,-241.82067763845384,-269.31074543465917,-278.0766572260588,-281.9783452603038,-266.2127463816011,0,-333.31220677077357,0,0,0,-343.042394741572,0,0,-274.3782946451062
seq3307,-242.2503916911884,-243.59967722652502,-249.49645288417906,-252.88917427653016,-240.8041687394173,-244.1050237128555,-236.30027321725694,-246.4747013834492,-250.76988785163803,-256.3038789736345,-272.99928643655585,-254.91743354298578,-276.6781261260725,-250.9483609105243,-261.4325349108008,-283.94438737434393,0,-289.932893990046,-254.04528529174522,-249.5449648799701,-245.9860978847476,-252.11839581015502,-259.32978593927345,-243.63200345840667,0,-309.75148920924613,0,0,0,-317.6488120285661,0,0,-258.5111963990808
seq3308,-269.47660202010644,-282.90038861163526,-263.1341997478084,-273.47959889527937,-278.2266735173856,-274.5123431752391,-267.96369449264597,-261.341478235764,-283.09216521662756,-283.31011630639847,-293.64745241875727,-301.6757298130513,-321.74238263658117,-293.4710346916525,-275.96708825147624,-324.43535338904763,0,-308.4079083995951,-279.022937589365,-267.8913834186146,-280.6330232449737,-287.8891945702735,-282.0261218925809,-267.76938774046187,0,-334.88881072015533,0,0,0,-350.72108453418394,0,0,-271.7506193178101
seq3309,-263.2608288645039,-255.35060188858782,-263.46995583793455,-244.69374480068558,-261.28634744407384,-272.48507511631175,-258.04023352121055,-260.67520381758527,-259.98629233376624,-242.21530905734312,-276.13453875215447,-266.44687172923466,-252.89094170299813,-254.02933418627595,-268.986802379917,-252.03306301765832,0,-223.9800165821832,-239.50639458246002,-252.85879015180802,-243.36317312682542,-240.72743467928348,-250.00957726048043,-248.62341089222275,0,-263.3815497559639,0,0,0,-220.14153821325002,0,0,-231.22993296812132
seq3310,-247.8064110405802,-251.1942191079767,-244.2718923513766,-246.72157877121592,-240.4517551271514,-254.42163996926686,-242.99907084682454,-243.3853903103281,-268.9980121964565,-262.53835361084276,-269.65305960821735,-272.5033741096922,-290.33383211558305,-268.5246396947557,-245.77284902065475,-292.589762206473,0,-288.863489014193,-259.8299418213494,-246.66188320790246,-251.68358394605994,-259.4623778257059,-255.08376446839546,-245.81451087430892,0,-319.14168370001204,0,0,0,-321.826281638009,0,0,-249.08906635966483
