DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
seq4201,-247.38100314730738,0,-278.8793581668466,0,0,0,-248.2530531404982,-238.82869477226797,-252.83445245956952,-225.7011718565984,-254.88499924908618,-269.53614549249517,-255.76182246967093,-245.84161786713577,-274.6803216367898,-238.17506044142522,-219.19641774676697,0,-236.9476702039234,-251.4652862049245,0,0,-246.05618391284844,-261.8722339450932,0,0,0,0,0,0,0,0,0
seq4202,-268.2087583274687,0,-307.36625690463745,0,0,0,-282.82672004080615,-295.2147615139927,-281.96586931731866,-302.52874821514945,-266.8869986308737,-308.6475124768572,-276.104483919951,-305.341865604331,-292.87179425232125,-321.8275770019438,-305.4809105821599,0,-289.7540747736352,-275.61280692215195,0,0,-307.72888103823294,-298.14503728557594,0,0,0,0,0,0,0,0,0
seq4203,-233.29010980080943,0,-272.31966248477164,0,0,0,-242.7432652872224,-257.9852255436959,-241.5940086307971,-254.22568328432658,-234.461114496285,-281.88906895259055,-245.44609650810386,-259.294590645831,-274.9240557057336,-276.6621044301527,-274.7750940432447,0,-249.08907353572718,-241.81852971230487,0,0,-259.9648384664972,-260.8361660893001,0,0,0,0,0,0,0,0,0
seq4204,-245.64201711544519,0,-288.29879749930586,0,0,0,-250.10493862905795,-264.9782272637858,-259.643282938982,-293.62524470088624,-251.62698470685908,-282.9352590548421,-245.37104227428875,-298.8940671568239,-278.9596316249301,-309.50175059124496,-272.3521747099205,0,-285.79167479589773,-246.39468707617053,0,0,-306.7185280774356,-296.1231508037043,0,0,0,0,0,0,0,0,0
seq4205,-534.9230102010288,0,-573.5180222304166,0,0,0,-547.0484143369579,-562.1736817896445,-540.9053429403547,-565.9599089496928,-548.690344711756,-554.2191231843631,-534.812114860077,-581.8793624674146,-558.4610815776516,-602.2447547573552,-550.9280445453026,0,-554.6282754097541,-526.4629468983142,0,0,-576.7722052066049,-561.70702997406,0,0,0,0,0,0,0,0,0
seq4206,-243.55627836319425,0,-268.3522961906832,0,0,0,-245.57197516371846,-249.90150525423016,-245.10285590035755,-240.09347655450077,-250.81913517049298,-264.25870023689845,-240.37123746293156,-245.48840324763012,-252.20913468226684,-270.3474010587184,-260.6324523127889,0,-238.13338274696858,-238.04774743975838,0,0,-262.57732104095874,-254.2289194090325,0,0,0,0,0,0,0,0,0
seq4207,-277.956276291224,0,-301.20666921019796,0,0,0,-287.2801369283069,-290.90008519934247,-274.40434349584075,-298.24333273771634,-289.6869995278873,-297.5427755783403,-278.3675363100742,-299.5161579317174,-311.4718107561831,-325.72280782394694,-300.48029120616474,0,-280.1576512182552,-278.3573818054928,0,0,-298.66824230493256,-308.599489659343,0,0,0,0,0,0,0,0,0
seq4208,-250.48839728376822,0,-277.0940923333037,0,0,0,-270.6946607404844,-268.73941501825243,-260.58818883612616,-287.8070513430325,-263.1570790025127,-291.9004032151216,-252.43999349094807,-301.6343103847192,-286.09351998874223,-317.2046904171027,-281.7741030682016,0,-281.3758961504017,-246.48192133385243,0,0,-288.594815918662,-276.9382349429305,0,0,0,0,0,0,0,0,0
seq4209,-275.357492261858,0,-299.15185482887324,0,0,0,-284.6846267573758,-307.35323017452816,-275.1123445323871,-326.0783647831635,-306.41956154690274,-309.1991933156469,-276.63725624091927,-329.8352259423632,-313.7102713368656,-351.2899852094791,-306.6079663053288,0,-319.8916042252691,-277.51934154263733,0,0,-342.8894343084661,-330.3554742891268,0,0,0,0,0,0,0,0,0
seq4210,-233.09799668522788,0,-271.54530686082285,0,0,0,-245.25718911000664,-263.0623951265204,-243.58620921675325,-269.0232420711231,-252.54122525776526,-249.31033398997673,-231.60941721124962,-267.29613882315675,-263.27122535054286,-293.52604986263043,-246.50362569316522,0,-262.70282737964214,-229.2919967839676,0,0,-283.97709147343926,-267.4685934656973,0,0,0,0,0,0,0,0,0
