DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
seq15601,-231.05163501577726,-234.4328074725074,-239.61676493379667,-245.21835031111493,-237.55549010925884,-233.36509208974488,-222.08023889526123,-237.4252373922874,-240.9159394308469,-242.56678079447835,-264.18877001475823,-248.91594685282809,-272.5861925172006,-247.37631940828453,-252.7610656612842,-277.45242206386166,0,-285.72188289855893,-239.60852341684298,-236.24152082395784,-235.6788443596234,-246.90076716490432,-249.09971608435652,-233.51493137313707,0,-293.77220709352133,0,0,0,-306.05054922290003,0,0,-247.5114911492754
seq15602,-262.4952241325405,-279.7229249596641,-271.2626271479157,-288.384871126897,-282.93509987096536,-276.5955081254247,-279.70015831298366,-279.2024702265296,-276.3888670345059,-285.486438258236,-299.4665367188502,-287.39923442062405,-307.1760544979083,-299.6799370099187,-260.5924207214114,-317.1243646142219,0,-315.0519053566108,-291.93627302949125,-274.1946709783668,-280.00585914653107,-297.13143198165176,-278.81821283126214,-282.05757331546096,0,-327.45839801188805,0,0,0,-335.8186902314953,0,0,-288.70126768041
seq15603,-259.1910974572493,-254.57478246167838,-261.14887770282206,-246.91271410409823,-261.36954449794666,-273.5047024081033,-253.88690152764403,-261.1727545925754,-267.1824362636757,-232.85957792220034,-284.3042006039632,-277.3662967912245,-282.82835171797717,-262.6206742365621,-260.849104863781,-275.09454624429867,0,-246.9194042209137,-240.56414241527506,-256.82869879275376,-243.10333115756157,-268.9558900451963,-249.43839952556294,-242.03762749006052,0,-251.84761652199987,0,0,0,-265.1761786062872,0,0,-234.57087878801218
seq15604,-235.35831044048263,-235.38592788490718,-228.6845542642444,-218.38229242415522,-234.7177052873234,-239.2319776783144,-229.7761388748717,-235.83187690921542,-244.31138102324005,-236.2573699090663,-238.0841707310728,-260.4914855959654,-280.37358413832357,-223.5064106046686,-246.7163286218324,-258.8317639612279,0,-264.165722697394,-234.11251645037893,-233.99961814993932,-230.09296482056655,-239.75308150136726,-229.1405475741667,-229.29109911919673,0,-290.9374743420989,0,0,0,-293.6849849382737,0,0,-230.51906347643754
seq15605,-262.96321614753134,-267.26014371988117,-255.3360760567035,-260.0251242137695,-273.66626175359966,-266.0847761084156,-246.46958814890212,-266.09937036742997,-273.0697338583951,-273.56457123436275,-292.84191349632073,-291.7953939100239,-317.126415094218,-278.8179400154769,-275.47445888673343,-305.7373060612798,0,-304.9936006029941,-264.7347652242542,-268.3171149015988,-267.685197968054,-275.2005960358267,-273.474817367782,-257.48015388577437,0,-320.9673701536201,0,0,0,-339.66007434418384,0,0,-263.67661556322537
seq15606,-260.52965515612465,-282.0199400490161,-248.70876676538936,-270.3770579647755,-273.65716658358014,-261.4796797797514,-263.00189433166923,-251.24014999199932,-287.86362800623016,-285.05368324617115,-299.3459178267504,-285.5792097298801,-312.8548591193066,-297.6842641492795,-248.7771335383,-312.5918409885957,0,-314.4698074927779,-284.2478574149431,-258.46735905993836,-269.56906065399284,-279.3193779129387,-279.94393271314766,-270.4162510152041,0,-339.6807689969111,0,0,0,-329.08883054653813,0,0,-272.8044148674223
seq15607,-262.34429568516947,-258.56763016588496,-266.4405371410818,-258.44579250055403,-265.763491568363,-274.02119988043665,-259.32270891835753,-262.18998324981254,-262.9754752538422,-245.16730582517695,-264.383088078139,-280.16436342971457,-286.9914043282842,-263.22825569471007,-267.31704485687465,-276.7710823416808,0,-261.0118715626525,-255.643402614329,-256.74863027492466,-257.2227913244348,-266.83207104918256,-253.50060254375282,-251.82324227101967,0,-224.52752705233976,0,0,0,-268.8509086392318,0,0,-248.21365349885568
seq15608,-259.6589397659647,-250.87553683267924,-251.6179453797293,-234.0012799710545,-257.9575870990721,-268.41359517927566,-245.11782352540263,-252.949869646914,-266.49181560168773,-228.2881781346809,-276.0681273113326,-287.5137112860372,-290.2668093182174,-263.74860550809694,-260.4860940284455,-286.35540231798535,0,-257.70245559992446,-238.58403709727463,-251.88509514396506,-249.23703078912848,-267.6578138269426,-241.043182508651,-240.8946906723144,0,-281.143818480876,0,0,0,-287.2061642078109,0,0,-232.47809905716622
seq15609,-233.64553255896715,-248.7955709449768,-235.14656880476366,-251.53397435187546,-228.1056831338596,-237.78652441759493,-236.8588678043152,-225.00108941948415,-243.88449328826042,-256.5914360515081,-249.44987853041806,-250.66012233695267,-283.19722082500425,-261.01561996847386,-249.69932477677935,-274.31722691253515,0,-286.68116258328877,-256.9711607804701,-224.3667589782686,-238.15150412240337,-248.66658868554345,-256.9385432403018,-245.69654870987043,0,-303.2690030787718,0,0,0,-310.19708268974455,0,0,-256.4601736957552
seq15610,-406.30390172105984,-403.0314462345656,-408.8319303360388,-401.20997614905343,-399.2709941534261,-403.8580694366977,-403.5293633151868,-402.34975753111434,-406.7265226349408,-396.7227293443497,-398.1650830388824,-401.59554514889885,-401.10868591332843,-399.8958593753034,-403.4715611623869,-398.1606053215798,0,-395.6032678127921,-400.3961097299809,-405.6373337815872,-397.68537115295715,-397.27198793074854,-394.9446515340706,-400.49085258659653,0,-390.47536026796587,0,0,0,-389.8426855353658,0,0,-397.8852017382093
