DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
seq23701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-310.90421201085536,-302.0289500742148,-313.34786930470005,-307.42725652658964,-290.4843990379396,-302.85390060055863,-301.7253975449181,-308.4226095548489,0
seq23702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-575.4897116439068,-568.5618501698225,-558.5077174483505,-572.8377925572285,-559.7407879061458,-570.8557654544652,-563.5747974259937,-577.8825082825523,0
seq23703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-310.71224732657384,-307.18574884458155,-311.2908761289875,-309.00197397265043,-293.99983614683873,-298.0866920244369,-299.10461084932206,-304.7681137421346,0
seq23704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-307.20268143803025,-303.66151265588474,-307.6844505036956,-311.17290239120086,-296.25609850870836,-296.9112675416589,-296.9924933174543,-304.862527082907,0
seq23705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-264.2158116371465,-259.1483389043144,-273.1298472277813,-261.5758569394056,-248.29902804365668,-259.54419172784355,-257.1299426244162,-269.059040988644,0
seq23706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-290.9087408908315,-278.31864452130714,-290.9220094180249,-281.7740355845352,-269.6845265808744,-275.8114119714479,-277.9566045386534,-291.27296105044746,0
seq23707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-275.2630012671653,-267.7712617211832,-285.31768932353424,-273.30796576331034,-257.3922128453122,-266.67513734033037,-264.5678946195168,-275.46621820737636,0
seq23708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-307.7386432188244,-301.0718225448016,-318.0494268725298,-301.06206160331584,-293.00765407438803,-302.5013220255337,-296.8751588212214,-313.9594584033356,0
seq23709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-290.744266725143,-278.6615290532829,-295.5261782819797,-278.8631435495563,-269.80718534165237,-274.58903766999003,-271.72877393300564,-288.04139621068157,0
seq23710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-285.6522114249745,-278.00109679618953,-293.3308558310893,-276.88764128254246,-269.37984646233417,-275.94430580596423,-274.94737430807015,-283.5928321396061,0
seq23711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-289.1447459353062,-282.54625813765017,-293.62017735290084,-289.1942602425054,-276.8845994229891,-281.264266786341,-283.4874886387784,-286.96563092117304,0
seq23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-275.62495000845536,-269.4100292483246,-282.05986667139456,-270.3441469169063,-269.0813945541897,-267.0074870526571,-265.19177479168957,-271.0588661689875,0
seq23713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-257.9271055309898,-256.8551484969439,-271.543740443599,-251.02025910170573,-251.8341195451507,-253.69538484769774,-247.1191149793035,-260.1866050806555,0
seq23714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-282.8651843584716,-271.6420249796086,-286.84639697443254,-289.2415633062397,-267.11524950436007,-274.00424584671714,-275.6745228978976,-281.6063982380306,0
seq23715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-289.7629611191545,-280.0852855984052,-291.92372003403744,-289.59739677325643,-280.8574876469561,-279.363545598748,-287.81117210241973,-283.38986124021375,0
seq23716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-321.00505427256667,-312.8570177752912,-313.38753997270055,-319.3331890620921,-304.72867551292217,-312.6491626708604,-310.2589653528004,-317.80330257386163,0
seq23717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-252.1731696937698,-238.8745596403311,-253.32108314786757,-248.05870731855543,-240.78164773809834,-244.58634868343722,-234.833322752397,-252.128611367178,0
seq23718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-255.38853999290671,-250.71683459027753,-264.8203197459608,-243.43400786971046,-236.90187560086304,-246.3147539533157,-238.6299657263521,-258.79333286838073,0
